ASRG;Event;Presenter;Organization;Type;Status;Start
ASRG-S;Embedded World;;;Conference;Cancelled;25.02.20
ASRG-MUC;Meeting 03: Exploring Cyber Attacks in Automotive Ethernet Networks;Matan Atad;Argus;Meeting;Completed;26.02.20
ASRG-D;16. Graph-based Intrusion Detection System for CAN;Graduate Student (name tbd);UofM Dearborn;Meeting;Completed;27.02.20
ASRG-D;"NDIA CySummit
- Jennifer Tisdale, good supporter of ASRG";;BB will try to represent ASRG here.;Conference;In Plan;10.03.20
ASRG-CAI;2nd Meeting;;??;Meeting;Cancelled;14.03.20
ASRG-S;Meeting 31: Security for Automotive Applications - An Introduction to Attacks;Marcus Janke and Dr. Peter Laackmann;Infineon Technologies AG;Meeting;Cancelled;17.03.20
ASRG-MUC;Meeting 04: Impact of Cybersecurity on Project Management;Manuel Sandler;Cyres Consulting;Meeting;Cancelled;25.03.20
ASRG-MUC;Meeting 05: Drivers & Enablers of Insider Threat Activity;Christina Lekati;Cyber Risk GmbH;Meeting;Cancelled;29.03.20
ASRG-WORLD;Webinar 1: Vehicle Cybersecurity Trends - Technical DeepDive of Recent Incidents;Allan Konar;Upstream Security;Webinar;Completed;02.04.20
ASRG-CAI;3rd Meeting;;ITI;Meeting;Cancelled;18.04.20
ASRG-S;Hannover Messe;;;Conference;Cancelled;20.04.20
ASRG-S;Meeting 32: Lessons Learned for Automotive Navigation after the Tesla GPS Hack;Yoav Zangvil (CTO);Regulus Cyber;Meeting;Cancelled;21.04.20
ASRG-WORLD;Webinar 2: Lessons Learned from IT & ICS/SCADA Cyber–Security Applied to Automotive;Gilad Bandel (VP Products);Arilou Automotive Cyber-Security;Webinar;Completed;23.04.20
ASRG-WORLD;1. Secure Coding Tournament;;Secure Code Warrior;Tournament;Completed;24.04.20
ASRG-WORLD;Webinar 3: UNECE CyberSecurity Regulation for Automotive;Dragos Dabija;Accenture Plc;Webinar;Completed;30.04.20
ASRG-WORLD;Webinar 4: Lessons Learned for Automotive Navigation after the Tesla GPS Hack;"Roi Mit (CMO); Dror Katalan (Chief Engineer)";Regulus Cyber;Webinar;Completed;06.05.20
ASRG-WORLD;Webinar 5: From an IVI in a box to a CAR in a box (Car Hacking Village UK/EU);Ian Tabor;MASS;Webinar;Completed;14.05.20
ASRG-S;BSides Stuttgart;;;Conference;Cancelled;18.05.20
ASRG-TLV;Ecomotion Week (Virtual Event);;;Conference;Open;18.05.20
ASRG-WORLD;Webinar 6: Cyber Threat Intelligence – Top Gun Style;Markus Auer;ThreatQuotient;Webinar;Completed;20.05.20
ASRG-WORLD;Webinar 7: Dynamic Trust Models for Mobility during Lifecycle;Mirko Ross;Asvin;Webinar;Completed;28.05.20
ASRG-CAI;4th Meeting;;ITI;Meeting;Cancelled;30.05.20
ASRG-WORLD;Webinar 8: Telematic Control Unit (in)security;Jofre Palau;Vodafone Automotive;Webinar;Completed;04.06.20
ASRG-WORLD;Webinar 9: ISO21434 by Example ;Bastian Kruck;Itemis;Webinar;Completed;11.06.20
ASRG-S;Meeting xx: Intelligence Model for Automotive Vulnerability Detection;Slava Bronfman (CEO);Cybellum;Meeting;Cancelled;16.06.20
ASRG-WORLD;Webinar 10: Attacking cars from the cloud, the API way of stealing cars;Vangelis Stykas;Pen Test Partners;Webinar;Completed;18.06.20
ASRG-WORLD;Webinar 11: Protecting Automotive Intellectual Property from Insider Threats;Cristina Lekati;Cyber Risk GmbH;Webinar;Completed;25.06.20
ASRG-CAI;5th Meeting;;ITI;Meeting;Cancelled;27.06.20
ASRG-S;Security of Things World;;;Conference;Cancelled;29.06.20
ASRG-WORLD;Webinar 12: CANbus vs. Ethernet IDS/IPS;Gilad Bandel (VP Products);Arilou Automotive Cyber-Security;Webinar;Completed;02.07.20
ASRG-WORLD;"Webinar 13: How Hacker-Powered Security can take
your Organization to the next Level";Jon Bottarini;HackerOne;Webinar;Completed;09.07.20
ASRG-WORLD;"Webinar 14: Taking the Wheel with Automotive Bluetooth
";M.Kamel Ghali;;Webinar;Completed;15.07.20
ASRG-WORLD;Webinar 15: CAN Bus: Attacks And Mitigations;Ken Tindell;Canis Labs;Webinar;Completed;16.07.20
ASRG-WORLD;Webinar 16: Relay Attack applied to NFC Virtual Car Keys;Enrico Pozzobon;OTH;Webinar;Completed;23.07.20
ASRG-CAI;6th Meeting ;;ITI;Meeting;Cancelled;25.07.20
ASRG-WORLD;Webinar 17: CAN Bus Reverse-Engineering with a RaspberryPi /SocketCAN – A Practical example;David Evans;Applus IDIADA (UK);Webinar;Completed;30.07.20
ASRG-WORLD;Webinar 18: Auto-ISAC;Faye Francy;Auto-ISAC;Webinar;Completed;06.08.20
ASRG-WORLD;Webinar 19: From Attackers to Defenders, Challenges in Securing Embedded Systems OS;Ali Abbasi;Ruhr University Bochum;Webinar;Completed;13.08.20
ASRG-S;Meeting xx: Cyber Security and Autonomous Driving;Miriam Gruber;BMW AG;Meeting;Cancelled;18.08.20
ASRG-WORLD;Webinar 20: Houston, We CAV a Problem;Vic Harkness;F-Secure;Webinar;Completed;20.08.20
ASRG-WORLD;2. Secure Coding Tournament;;Secure Code Warrior;Tournament;Completed;28.08.20
ASRG-CAI;7th Meeting;;ITI;Workshop;Cancelled;29.08.20
ASRG-WORLD;Webinar 21: Threat Modeling in 2020;Adam Shostack;Shostack & Associates;Webinar;Completed;03.09.20
ASRG-WORLD;Webinar 22: Vehicle System Forensics – ‘Frankie’, A Case Study;Noel Lowdon;Harper Shaw Investigation Consultants Ltd.;Webinar;Confirmed;17.09.20
ASRG-WORLD;Webinar 23: AI based security & safety  anomaly detection;Moustafa El Bahaey;AT Instruments;Webinar;Confirmed;24.09.20
ASRG-CAI;8th Meeting;;;Webinar;Cancelled;27.09.20
ASRG-WORLD;Webinar 24: What is required to work in Automotive CyberSecurity Jobs ?;AJ Khan & CyberTalents;CyberTalents;Webinar;Confirmed;27.09.20
ASRG-WORLD;Webinar 25: ?;Victor Otero;BMW AG;Webinar;In Plan;01.10.20
ASRG-WORLD;Webinar 26: An Overview of Privacy-Preserving Credential Management for V2X Communication;Kevin Henry;Escrypt;Webinar;Confirmed;08.10.20
ASRG-S;Meeting 33: xxx;;;Meeting;Confirmed;14.10.20
ASRG-WORLD;Webinar 27: LibreCAN: Automated CAN Message Translator;Mert D. Pese;University of Michigan;Webinar;Confirmed;15.10.20
